model,steps,baseline,fad_score
MAA,10,clotho,0.6885540517228337
MAA,25,clotho,0.6263847217848016
MAA,50,clotho,0.5965635036103187
MAA,100,clotho,0.5829867898420277
MAA,150,clotho,0.5724060016072662
MAA,200,clotho,0.5718847648686
MAA,10,audiocaps,0.23685486729067717
MAA,25,audiocaps,0.15159041469582246
MAA,50,audiocaps,0.13173808867156617
MAA,100,audiocaps,0.12604781972103188
MAA,150,audiocaps,0.12453150680424696
MAA,200,audiocaps,0.12025303860700562
