model,steps,baseline,fad_score
Tango2,10,clotho,0.6193424422630509
Tango2,25,clotho,0.5548737414961868
Tango2,50,clotho,0.5627252857315064
Tango2,100,clotho,0.5480226071130085
Tango2,150,clotho,0.577880061979986
Tango2,200,clotho,0.5687534083616012
Tango2,10,audiocaps,0.1892257818395763
Tango2,25,audiocaps,0.1119339129797969
Tango2,50,audiocaps,0.10875814846380523
Tango2,100,audiocaps,0.10776616516060841
Tango2,150,audiocaps,0.11982185099282287
Tango2,200,audiocaps,0.11184992212698204
