model,steps,baseline,fad_score
MAA2,10,clotho,0.5982227254774298
MAA2,25,clotho,0.5786415646879413
MAA2,50,clotho,0.5716332860654211
MAA2,100,clotho,0.5653885303921543
MAA2,150,clotho,0.5635150335807733
MAA2,200,clotho,0.5658089482649408
MAA2,10,audiocaps,0.18617093499750628
MAA2,25,audiocaps,0.1809111309587572
MAA2,50,audiocaps,0.18476459071279214
MAA2,100,audiocaps,0.17904167703792173
MAA2,150,audiocaps,0.18118773735399565
MAA2,200,audiocaps,0.18262044729755053
