project_name,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed
10,1.0872789350631876e-05,3.387605079363341e-06,17.41559306234117,622.3257326810332,0.0026261435470176643,1.7079978647451757e-05,1.5767549663030203e-05,1.035337377643524e-07,3.287631562427999e-05
25,1.054461473181519e-06,4.365580355063174e-07,18.172042113970804,624.6700559497077,0.002474973704458483,5.869519846555426e-07,3.289741737801386e-06,3.8311599732221215e-09,3.188400610716923e-06
50,5.852820140616922e-07,1.1471046091949363e-07,11.742538114245578,482.1424571773892,0.002493866907692182,1.1137818555149782e-06,2.2942836002979455e-06,7.448032365735183e-09,1.76973135438579e-06
100,1.2257823605109946e-06,7.25560360796481e-08,14.066790145887973,597.9970067202572,0.0024715847206636123,1.6533631510222481e-06,4.349755881472915e-06,1.0498468059100375e-08,3.7064277134448687e-06
150,2.3524867998329586e-06,1.2134658098568117e-07,7.671436272801774,467.77106276614126,0.0023362994982036086,3.832759522956533e-06,5.105166461035817e-06,1.529828117078481e-08,7.1132711248423734e-06
200,1.7484208689775988e-06,8.673682730019571e-08,2.4910738250282387,539.5261926516074,0.0022884521191359323,4.902270462148061e-06,2.6865976857988497e-06,1.8133084032204376e-08,5.286742387726269e-06
