project_name,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed
10,6.062908979982104e-06,1.7200770925628254e-06,1.965291133945179,202.69701919943756,0.00040943627517696347,1.1789193931245908e-05,6.548286415007724e-06,5.520473265519037e-08,1.8332564238965233e-05
25,4.43835446573042e-07,4.2232467951110785e-07,12.343018967424424,169.90582500084406,8.188725503539424e-05,7.265170918227403e-07,9.210020480122903e-07,1.4716246526405716e-09,1.3420359538127428e-06
50,1.4492216552359765e-06,6.94822015934824e-08,8.224563450635882,200.2003933854646,0.0,3.128795341030139e-06,1.37825721303574e-06,8.51677248942707e-09,4.382046502544158e-06
100,9.332475720700809e-07,1.8253255213739772e-07,15.205765010479814,163.18942484686855,0.0,2.696259284397481e-06,1.1756521549986102e-06,8.698877464761606e-09,2.8218832118541986e-06
150,1.0700858335748994e-06,2.093308992400434e-07,15.350945312671524,212.89353673643896,0.0,9.582233677502232e-07,3.358356154743246e-06,4.274623456574193e-09,3.2356443664096618e-06
200,9.67291426119627e-07,3.2122236538055207e-07,10.67215558286806,165.3596294143354,0.0,1.1137574130191857e-06,2.476595264789132e-06,8.467927592091235e-09,2.9248224351905156e-06
