model,steps,baseline,fad_score
Tango,10,clotho,0.7123480208723127
Tango,25,clotho,0.5711400404345415
Tango,50,clotho,0.55873978575195
Tango,100,clotho,0.5484080881668287
Tango,150,clotho,0.5985513624728169
Tango,200,clotho,0.558770563347527
Tango,10,audiocaps,0.2994477359887657
Tango,25,audiocaps,0.15828372910373828
Tango,50,audiocaps,0.14535456884564232
Tango,100,audiocaps,0.1511222108814375
Tango,150,audiocaps,0.1694916444216467
Tango,200,audiocaps,0.15124599291613522
