project_name,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed
10,2.048142006543163e-06,1.932995847259313e-06,12.552730384178826,344.06291931031257,0.00024566176510627943,4.681728281930439e-06,1.5047988422451606e-06,2.912632385919558e-08,6.193016426511896e-06
25,8.510411749376293e-07,8.555399448763822e-07,15.991472461723296,328.5189188315922,0.00016377451007088518,1.3967146854210092e-06,1.322398219129188e-06,1.403229162764669e-09,2.5733137444518572e-06
50,6.567461510914366e-07,2.8389622129568305e-07,11.757798422198512,352.7241447651849,0.00016377451007088518,1.2908064114272807e-06,1.0902726767765058e-06,2.1583831176745074e-09,1.9858191906596723e-06
100,8.212449368982559e-07,2.967852858717551e-07,6.846437426881067,367.0145407820883,8.188725503549871e-05,1.9945638339740916e-06,8.35762371883096e-07,1.1232249618197857e-09,2.4832181402316173e-06
150,1.197173443958526e-06,3.104606592130409e-07,15.67595178313117,289.39594669240574,0.0,2.0854502900549285e-06,2.055779341832907e-06,2.72695460434939e-09,3.619922241727812e-06
200,1.8609696954251435e-06,2.849321643368773e-07,14.243063280811082,248.334746238148,0.0,3.825767200589693e-06,2.0475527303639315e-06,5.423330851307218e-09,5.627058991077772e-06
