project_name,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed
10,5.454778595520894e-05,3.491035459319148e-05,120.05906452026917,232.34852252809833,2.557861518859864,5.343986541852491e-05,0.00011045464391936,1.0429478165248348e-06,0.00016493745715439998
25,0.00012081683993252,3.7548392313387506e-05,127.3827825736162,261.4177730759918,2.557934761047364,0.00010842827507581999,0.00025467898152408,2.2095387742117362e-06,0.00036531679537418
50,0.00023483337588438,3.810051410622515e-05,131.26148415217745,333.7874763894861,2.557934761047364,0.00020818481704768,0.0004975835091783601,4.303021219244211e-06,0.0007100713474453201
100,0.0004631480241892,3.8397075457218055e-05,141.70446344370265,190.29314312280394,2.557934761047364,0.00040715236066602,0.00098478789894324,8.491601339389478e-06,0.00140043186094868
150,0.00069627238491334,3.8683713133619406e-05,126.17536407502209,395.28231142247375,2.557934761047364,0.00061529157995502,0.0014773324596432601,1.27115784005766e-05,0.00210533561799896
200,0.0009273703322036201,3.873100078540388e-05,130.63784104996546,212.198299070753,2.5579347610473637,0.00081796238125822,0.0019692124087029,1.6937269871181717e-05,0.0028041120598323597
