model,baseline,ancova_interaction_pvalue,ancova_satisfactory,pearson_correlation,pearson_pvalue,correlation_satisfactory
AudioLDM2,audiocaps,0.7551414619120596,True,0.9830224205916108,0.00042991051036591845,True
AudioLDM2,clotho,0.8427008372794119,True,0.9454257844818288,0.004386247078192689,True
SAO,audiocaps,0.9819919770235148,True,0.9984721885313452,3.4995287108420645e-06,True
SAO,clotho,0.8264716346437136,True,0.9994815650523695,4.0309252126339917e-07,True
