model,baseline,ancova_interaction_pvalue,ancova_satisfactory,pearson_correlation,pearson_pvalue,correlation_satisfactory
AudioLDM2,audiocaps,0.9242370500252819,True,0.945493820621963,0.0043754185385179835,True
AudioLDM2,clotho,0.9634484134721533,True,0.9615143239132077,0.0021932194188694306,True
SAO,audiocaps,0.9647485011056942,True,0.9984807937953212,3.4602280840421146e-06,True
SAO,clotho,0.9419989025470799,True,0.9937570087540905,5.8340749441089354e-05,True
